Date,Close,Volume,Stock
2020-01-01,115.47,14028700,AAPL
2020-01-02,109.74,16336338,AAPL
2020-01-03,104.02,19034542,AAPL
2020-01-04,112.31,15963224,AAPL
2020-01-05,105.75,11484306,AAPL
2020-01-06,105.58,14078002,AAPL
2020-01-07,115.97,19135893,AAPL
2020-01-08,113.36,12488680,AAPL
2020-01-09,107.86,19284652,AAPL
2020-01-10,108.31,18940834,AAPL
2020-01-11,120.0,19271967,AAPL
2020-01-12,115.82,18984164,AAPL
2020-01-13,112.79,11571689,AAPL
2020-01-14,118.44,14152329,AAPL
2020-01-15,112.63,13341311,AAPL
2020-01-16,107.07,19006244,AAPL
2020-01-17,127.35,12598779,AAPL
2020-01-18,111.87,16649285,AAPL
2020-01-19,103.5,16890514,AAPL
2020-01-20,118.56,11491080,AAPL
2020-01-21,120.06,12659427,AAPL
2020-01-22,110.87,14246007,AAPL
2020-01-23,112.32,16695376,AAPL
2020-01-24,108.23,12003372,AAPL
2020-01-25,116.31,16781979,AAPL
2020-01-26,118.28,12514278,AAPL
2020-01-27,113.46,12436229,AAPL
2020-01-28,107.69,10769417,AAPL
2020-01-29,102.23,15475981,AAPL
2020-01-30,107.92,19955582,AAPL
2020-01-31,108.41,19105081,AAPL
2020-02-01,109.55,14190212,AAPL
2020-02-02,112.54,10066887,AAPL
2020-02-03,107.31,17781533,AAPL
2020-02-04,118.59,15110841,AAPL
2020-02-05,121.73,16458160,AAPL
2020-02-06,110.28,16248643,AAPL
2020-02-07,102.65,12276873,AAPL
2020-02-08,106.52,11134216,AAPL
2020-02-09,112.83,16290868,AAPL
2020-02-10,107.39,16542537,AAPL
2020-02-11,127.13,15047278,AAPL
2020-02-12,104.84,12371761,AAPL
2020-02-13,107.6,19252715,AAPL
2020-02-14,126.15,16308237,AAPL
2020-02-15,130.07,18016227,AAPL
2020-02-16,117.95,12731941,AAPL
2020-02-17,137.79,19483681,AAPL
2020-02-18,124.61,11528431,AAPL
2020-02-19,108.12,18554857,AAPL
2020-02-20,103.86,16766464,AAPL
2020-02-21,121.72,16972305,AAPL
2020-02-22,117.27,16387302,AAPL
2020-02-23,111.21,12616916,AAPL
2020-02-24,114.8,15916548,AAPL
2020-02-25,107.52,11339092,AAPL
2020-02-26,108.28,11765948,AAPL
2020-02-27,110.89,15945259,AAPL
2020-02-28,118.79,14722293,AAPL
2020-02-29,121.93,18254885,AAPL
2020-03-01,111.49,19187514,AAPL
2020-03-02,104.84,18433696,AAPL
2020-03-03,116.32,18858454,AAPL
2020-03-04,115.88,18829445,AAPL
2020-03-05,111.46,11746573,AAPL
2020-03-06,120.93,18086789,AAPL
2020-03-07,109.84,14781505,AAPL
2020-03-08,113.69,11544495,AAPL
2020-03-09,116.95,11104195,AAPL
2020-03-10,114.71,12314180,AAPL
2020-03-11,107.88,10019768,AAPL
2020-03-12,105.05,11766137,AAPL
2020-03-13,121.17,13456717,AAPL
2020-03-14,106.85,12189707,AAPL
2020-03-15,106.83,15473277,AAPL
2020-03-16,113.6,17401488,AAPL
2020-03-17,109.18,14891105,AAPL
2020-03-18,124.38,10566730,AAPL
2020-03-19,107.92,15520688,AAPL
2020-03-20,103.38,11200066,AAPL
2020-03-21,100.69,17918609,AAPL
2020-03-22,117.86,14945964,AAPL
2020-03-23,123.17,10749859,AAPL
2020-03-24,105.97,17701250,AAPL
2020-03-25,109.47,15270625,AAPL
2020-03-26,115.55,13052605,AAPL
2020-03-27,124.14,11031691,AAPL
2020-03-28,118.53,13052355,AAPL
2020-03-29,114.88,11430215,AAPL
2020-03-30,123.14,14347502,AAPL
2020-03-31,116.35,13121646,AAPL
2020-04-01,118.32,13386811,AAPL
2020-04-02,108.56,12080315,AAPL
2020-04-03,116.92,17973720,AAPL
2020-04-04,112.05,18804932,AAPL
2020-04-05,121.17,16074060,AAPL
2020-04-06,109.63,14875817,AAPL
2020-04-07,103.64,12788199,AAPL
2020-04-08,120.07,13177821,AAPL
2020-04-09,111.68,13354038,AAPL
2020-04-10,126.39,16862361,AAPL
2020-04-11,113.77,11931534,AAPL
2020-04-12,115.99,10249550,AAPL
2020-04-13,119.84,12739884,AAPL
2020-04-14,124.3,16761805,AAPL
2020-04-15,114.12,13572099,AAPL
2020-04-16,101.73,12804424,AAPL
2020-04-17,103.63,10809673,AAPL
2020-04-18,120.05,16325622,AAPL
2020-04-19,110.19,17339419,AAPL
2020-04-20,109.15,15513488,AAPL
2020-04-21,116.37,16172942,AAPL
2020-04-22,120.27,11419900,AAPL
2020-04-23,111.88,17198888,AAPL
2020-04-24,106.7,13114643,AAPL
2020-04-25,108.0,17125213,AAPL
2020-04-26,129.97,19791865,AAPL
2020-04-27,125.89,11209584,AAPL
2020-04-28,107.61,11129482,AAPL
2020-04-29,116.64,18015468,AAPL
2020-04-30,106.86,10548680,AAPL
2020-05-01,125.52,16583114,AAPL
2020-05-02,116.58,14285747,AAPL
2020-05-03,119.43,10462002,AAPL
2020-05-04,122.12,18590194,AAPL
2020-05-05,113.61,19745189,AAPL
2020-05-06,115.54,13198400,AAPL
2020-05-07,129.71,12634378,AAPL
2020-05-08,114.77,15285451,AAPL
2020-05-09,119.68,17301685,AAPL
2020-05-10,107.67,12936752,AAPL
2020-05-11,105.53,15131146,AAPL
2020-05-12,107.99,16577563,AAPL
2020-05-13,106.76,19090782,AAPL
2020-05-14,114.59,13983667,AAPL
2020-05-15,118.61,14307503,AAPL
2020-05-16,116.63,12975462,AAPL
2020-05-17,128.89,10895312,AAPL
2020-05-18,115.73,10996913,AAPL
2020-05-19,109.88,10477419,AAPL
2020-05-20,105.27,14188788,AAPL
2020-05-21,129.02,11420090,AAPL
2020-05-22,117.04,18935915,AAPL
2020-05-23,120.73,17749985,AAPL
2020-05-24,113.08,11188603,AAPL
2020-05-25,120.94,12632472,AAPL
2020-05-26,117.64,16582698,AAPL
2020-05-27,109.55,17514584,AAPL
2020-05-28,122.2,11339291,AAPL
2020-05-29,111.29,10234214,AAPL
2020-05-30,103.4,13667470,AAPL
2020-05-31,102.79,14933732,AAPL
2020-06-01,124.19,15973529,AAPL
2020-06-02,119.33,17803087,AAPL
2020-06-03,116.79,16187246,AAPL
2020-06-04,122.59,11618288,AAPL
2020-06-05,115.08,13508240,AAPL
2020-06-06,104.93,13097632,AAPL
2020-06-07,119.89,10877072,AAPL
2020-06-08,117.25,17885009,AAPL
2020-06-09,106.12,17370475,AAPL
2020-06-10,114.73,18343106,AAPL
2020-06-11,118.77,19386299,AAPL
2020-06-12,109.08,12630134,AAPL
2020-06-13,123.12,14884002,AAPL
2020-06-14,116.28,19645570,AAPL
2020-06-15,119.81,14152756,AAPL
2020-06-16,112.31,12144902,AAPL
2020-06-17,120.49,11069287,AAPL
2020-06-18,113.83,14115998,AAPL
2020-06-19,119.19,16320087,AAPL
2020-06-20,125.26,13817426,AAPL
2020-06-21,117.53,16336059,AAPL
2020-06-22,116.15,18856317,AAPL
2020-06-23,118.44,12522113,AAPL
2020-06-24,106.33,19422054,AAPL
2020-06-25,119.48,18531157,AAPL
2020-06-26,114.95,18736706,AAPL
2020-06-27,116.59,14556350,AAPL
2020-06-28,106.36,16687000,AAPL
2020-06-29,124.18,19766750,AAPL
2020-06-30,127.9,19452544,AAPL
2020-07-01,119.91,11343057,AAPL
2020-07-02,116.56,16044385,AAPL
2020-07-03,117.81,14129262,AAPL
2020-07-04,120.93,17946075,AAPL
2020-07-05,113.59,16330493,AAPL
2020-07-06,118.7,13707133,AAPL
2020-07-07,116.19,16106584,AAPL
2020-07-08,111.8,12888838,AAPL
