Date,Open,High,Low,Close,Adj Close,Volume,Stock
2023-01-01,107.96,117.8,102.91,116.2,116.2,9667,AAPL
2023-01-02,107.39,110.6,104.11,108.96,108.96,6103,AAPL
2023-01-03,153.01,155.81,144.13,146.33,146.33,9054,AAPL
2023-01-04,187.45,194.53,178.55,192.94,192.94,5261,AAPL
2023-01-05,188.05,193.25,186.73,187.01,187.01,3598,AAPL
2023-01-06,172.24,178.81,165.64,178.23,178.23,9853,AAPL
2023-01-07,187.51,195.07,184.2,185.18,185.18,7688,AAPL
2023-01-08,181.73,185.53,179.92,183.42,183.42,9905,AAPL
2023-01-09,126.8,129.92,122.23,124.09,124.09,8505,AAPL
2023-01-10,108.04,112.95,102.53,106.46,106.46,7174,AAPL
2023-01-11,113.78,123.35,104.31,121.53,121.53,1315,AAPL
2023-01-12,186.53,192.71,180.78,190.53,190.53,8845,AAPL
2023-01-13,192.34,201.83,190.75,196.55,196.55,1910,AAPL
2023-01-14,116.95,124.89,115.65,119.0,119.0,9752,AAPL
2023-01-15,173.58,181.57,169.42,175.39,175.39,2306,AAPL
2023-01-16,175.81,184.25,168.36,173.01,173.01,2844,AAPL
2023-01-17,142.36,146.18,136.26,145.33,145.33,1994,AAPL
2023-01-18,197.35,204.14,189.28,201.36,201.36,7587,AAPL
2023-01-19,131.19,134.35,124.21,124.21,124.21,6493,AAPL
2023-01-20,148.67,157.29,143.79,146.15,146.15,9543,AAPL
2023-01-21,188.45,193.88,185.67,186.56,186.56,1462,AAPL
2023-01-22,100.74,106.68,92.56,92.97,92.97,4128,AAPL
2023-01-23,195.35,198.5,193.49,196.02,196.02,4292,AAPL
2023-01-24,128.86,131.36,125.9,130.29,130.29,8526,AAPL
2023-01-25,192.34,198.65,190.92,192.22,192.22,6591,AAPL
2023-01-26,171.95,174.16,168.33,172.03,172.03,8267,AAPL
2023-01-27,166.97,167.98,163.76,165.78,165.78,7021,AAPL
2023-01-28,114.03,121.33,109.04,113.67,113.67,3039,AAPL
2023-01-29,150.74,158.93,141.64,152.36,152.36,4277,AAPL
2023-01-30,150.55,158.33,146.24,146.61,146.61,7192,AAPL
2023-01-31,179.1,181.7,173.44,177.2,177.2,8992,AAPL
2023-02-01,177.13,184.37,169.87,173.28,173.28,6901,AAPL
2023-02-02,185.43,190.1,181.61,185.58,185.58,3511,AAPL
2023-02-03,183.64,191.13,181.58,189.3,189.3,7085,AAPL
2023-02-04,100.21,106.86,92.79,99.73,99.73,9681,AAPL
2023-02-05,117.56,120.56,111.58,119.9,119.9,3488,AAPL
2023-02-06,100.31,106.78,97.56,104.2,104.2,6649,AAPL
2023-02-07,157.53,166.07,155.75,157.61,157.61,5241,AAPL
2023-02-08,177.73,180.02,175.26,175.31,175.31,5389,AAPL
2023-02-09,155.69,157.37,152.06,154.92,154.92,7582,AAPL
2023-02-10,104.38,110.91,101.56,107.31,107.31,6556,AAPL
2023-02-11,168.34,171.78,163.88,168.75,168.75,8483,AAPL
2023-02-12,153.45,155.92,148.94,154.82,154.82,3606,AAPL
2023-02-13,168.83,171.86,166.12,170.68,170.68,6227,AAPL
2023-02-14,141.2,145.65,133.77,138.85,138.85,1036,AAPL
2023-02-15,159.23,162.41,155.23,158.7,158.7,5030,AAPL
2023-02-16,149.63,151.47,139.92,151.08,151.08,2864,AAPL
2023-02-17,192.17,201.24,183.17,191.44,191.44,2867,AAPL
2023-02-18,162.32,163.42,158.88,162.72,162.72,4549,AAPL
2023-02-19,160.53,168.61,155.58,162.67,162.67,5206,AAPL
2023-02-20,144.7,151.27,142.75,146.8,146.8,3651,AAPL
2023-02-21,132.81,141.52,128.31,137.8,137.8,8646,AAPL
2023-02-22,156.75,166.06,148.97,154.34,154.34,4477,AAPL
2023-02-23,117.01,123.75,113.97,114.35,114.35,3336,AAPL
2023-02-24,129.94,133.29,128.67,131.64,131.64,3005,AAPL
2023-02-25,133.37,134.43,130.25,133.61,133.61,8572,AAPL
2023-02-26,174.74,181.77,170.75,173.44,173.44,3334,AAPL
2023-02-27,193.9,196.28,189.88,191.4,191.4,8545,AAPL
2023-02-28,152.89,156.69,147.25,153.93,153.93,8610,AAPL
2023-03-01,112.97,117.32,111.49,114.0,114.0,9405,AAPL
2023-03-02,175.96,182.13,171.05,175.21,175.21,1983,AAPL
2023-03-03,152.39,157.22,143.48,144.1,144.1,2343,AAPL
2023-03-04,163.81,165.93,154.27,156.94,156.94,2457,AAPL
2023-03-05,175.59,181.61,170.04,176.61,176.61,3412,AAPL
2023-03-06,107.5,112.98,98.56,109.42,109.42,9077,AAPL
2023-03-07,190.28,197.19,183.47,189.51,189.51,8165,AAPL
2023-03-08,110.22,116.7,107.78,113.23,113.23,8060,AAPL
2023-03-09,159.99,161.18,153.78,159.88,159.88,8629,AAPL
2023-03-10,188.04,192.44,183.8,188.45,188.45,9766,AAPL
2023-03-11,127.4,129.86,120.32,128.05,128.05,1676,AAPL
2023-03-12,154.03,160.53,147.13,158.05,158.05,3697,AAPL
2023-03-13,106.94,108.67,98.04,98.61,98.61,2303,AAPL
2023-03-14,181.77,190.78,176.36,177.89,177.89,2408,AAPL
2023-03-15,118.58,124.45,112.31,117.38,117.38,1171,AAPL
2023-03-16,124.51,131.17,123.36,130.32,130.32,6261,AAPL
2023-03-17,165.87,173.31,161.52,165.91,165.91,3195,AAPL
2023-03-18,171.88,179.12,162.26,173.69,173.69,4224,AAPL
2023-03-19,148.08,150.9,142.66,148.68,148.68,7589,AAPL
